Year,Avian
1994,55
2002,61
2003,98
2005,111
2008,117
2009,166
2010,178
2011,185
2012,188
2013,191
2014,208
2015,222
2016,223
2017,224
2018,225
2019,226
2020,227
2021,229
2022,231
2023,234
2024,245
2025,248
