Year,Insect
1994,5
2008,14
2009,25
2010,39
2011,48
2012,52
2013,55
2014,56
2015,58
2016,59
2017,66
2018,71
2019,71
2020,77
2021,106
2022,118
2023,124
2024,136
2025,142
