Year,Plant
1994,35.0
1997,41.0
2005,45.0
2008,60.0
2009,63.0
2010,73.0
2011,77.0
2012,78.0
2013,79.0
2014,80.0
2015,82.0
2016,83.0
2017,85.0
2018,86.0
2019,86.0
2020,87.0
2021,90.0
2022,90.0
2023,92.0
