Year,Avian
1994,55.0
2002,61.0
2003,98.0
2005,111.0
2008,117.0
2009,166.0
2010,178.0
2011,185.0
2012,188.0
2013,191.0
2014,208.0
2015,222.0
2016,223.0
2017,224.0
2018,225.0
2019,226.0
2020,227.0
2021,229.0
2022,231.0
2023,234.0
2024,248.0
2025,251.0
