Year,Plant
1994,36
1997,41
2005,46
2008,62
2009,65
2010,75
2011,79
2012,80
2013,81
2014,82
2015,84
2016,85
2017,86
2018,87
2019,87
2020,88
2021,88
2022,88
2023,90
