Year,Insect
1994,5
2008,14
2009,25
2010,38
2011,47
2012,51
2013,54
2014,55
2015,57
2016,58
2017,65
2018,70
2019,70
2020,76
2021,102
2022,109
2023,116
2024,127
2025,133
