taxonID,scientificNameID,taxonConceptID,taxonomicStatus,kingdom,scientificName,verbatimIdentification,taxonRank,vernacularName,taxonRemarks,identificationQualifier
KL_Avian_0000211,54122,t0100036,accepted,Animalia,Anthus richardi,Anthus richardi,species,大花鷚,,
KL_Avian_0000213,54120,t0100034,accepted,Animalia,Anthus hodgsoni,Anthus hodgsoni,species,樹鷚,,
KL_Avian_0000216,54124,t0100038,accepted,Animalia,Anthus spinoletta,Anthus spinoletta,species,水鷚,,
KL_Avian_0000229,56152,t0096856,accepted,Animalia,Emberiza aureola,Emberiza aureola,species,金鵐,,
KL_Avian_0000234,71419,t0062501,accepted,Animalia,Emberiza rutila,Emberiza rutila,species,鏽鵐,,
KL_Avian_0000165,11892,t0020862,accepted,Animalia,Horornis,Horornis diphone | Horornis canturians,genus,短翅樹鶯複合群,The Japanese bush warbler complex in broad terms (Horornis diphone | Horornis canturians),This taxonID represents the Japanese bush warbler complex in broad terms (Horornis diphone | Horornis canturians).
KL_Insect_0000002,35344,t0085052,accepted,Animalia,Zizeeria maha okinawana,Zizeeria maha okinawana,subspecies,沖繩小灰蝶,毛眼灰蝶 | 柞灰蝶 | 酢醬灰蝶 | 小型小灰蝶 | 大和小灰蝶 | 藍灰蝶,
KL_Insect_0000073,80891,t0031136,accepted,Animalia,Nezara viridula,Nezara viridula,species,稻綠蝽,,
KL_Insect_0000100,80269,t0081056,accepted,Animalia,Necrobia rufipes,Necrobia rufipes,species,赤足郭公蟲,,
KL_Insect_0000101,80268,t0081055,accepted,Animalia,Necrobia ruficollis,Necrobia ruficollis,species,赤頸郭公蟲,雙色琉璃郭公蟲,
KL_Insect_0000117,89891,t0047093,accepted,Animalia,Tetramorium nipponense,Tetramorium nipponense,species,日本皺家蟻,,
KL_Plant_0000001,25108,t0058916,accepted,Plantae,Cyrtomium falcatum,Cyrtomium falcatum,species,全緣貫眾蕨,,
KL_Plant_0000002,145731,t0101197,accepted,Plantae,Pteris fauriei var. fauriei,Pteris fauriei var. fauriei,variety,傅氏鳳尾蕨,,
KL_Plant_0000006,25847,t0055572,accepted,Plantae,Tetragonia tetragonoides,Tetragonia tetragonoides,species,番杏,,
KL_Plant_0000007,25741,t0055186,accepted,Plantae,Sagina japonica,Sagina japonica,species,瓜槌草,,
KL_Plant_0000009,58649,t0058947,accepted,Plantae,Persicaria chinensis,Persicaria chinensis,species,火炭母草,,
KL_Plant_0000010,120410,t0059215,accepted,Plantae,Rumex japonicus,Rumex japonicus,species,羊蹄,,
KL_Plant_0000012,121755,t0102082,accepted,Plantae,Boerhavia diffusa,Boerhavia diffusa,species,黃細心,,
KL_Plant_0000014,23727,t0054931,accepted,Plantae,Portulaca oleracea,Portulaca oleracea,species,馬齒莧,,
KL_Plant_0000015,23728,t0054932,accepted,Plantae,Portulaca pilosa,Portulaca pilosa,species,毛馬齒莧,,
KL_Plant_0000016,55050,t0073189,accepted,Plantae,Chenopodium acuminatum,Chenopodium acuminatum,species,變葉藜,,
KL_Plant_0000017,25192,t0053465,accepted,Plantae,Dysphania ambrosioides,Dysphania ambrosioides,species,臭莧,臭杏,
KL_Plant_0000018,60109,t0058313,accepted,Plantae,Suaeda maritima,Suaeda maritima,species,裸花鹼蓬,,
KL_Plant_0000019,24177,t0055292,accepted,Plantae,Sedum formosanum,Sedum formosanum,species,台灣佛甲草,石板菜,
KL_Plant_0000020,23347,t0054668,accepted,Plantae,Oxalis corniculata,Oxalis corniculata,species,酢漿草,,
KL_Plant_0000021,54893,t0058743,accepted,Plantae,Centella asiatica,Centella asiatica,species,雷公根,,
KL_Plant_0000023,22991,t0054360,accepted,Plantae,Lysimachia mauritiana,Lysimachia mauritiana,species,茅毛珍珠菜,,
KL_Plant_0000024,57472,t0103362,accepted,Plantae,Leptopetalum coreanum,Leptopetalum coreanum,species,脈耳草,,
KL_Plant_0000027,21810,t0053370,accepted,Plantae,Dichondra micrantha,Dichondra micrantha,species,馬蹄金,,
KL_Plant_0000028,25371,t0100319,accepted,Plantae,Ipomoea pes-caprae,Ipomoea pes-caprae,species,馬鞍藤,,
KL_Plant_0000030,22790,t0054200,accepted,Plantae,Leonurus japonicus,Leonurus japonicus,species,益母草,,
KL_Plant_0000034,25749,t0055240,accepted,Plantae,Scaevola taccada,Scaevola taccada,species,草海桐,,
KL_Plant_0000040,21588,t0053159,accepted,Plantae,Crossostephium chinense,Crossostephium chinense,species,蘄艾,,
KL_Plant_0000041,25212,t0053530,accepted,Plantae,Emilia sonchifolia,Emilia sonchifolia,species,紫背草,一點紅 | 葉下紅,
KL_Plant_0000043,61275,t0057950,accepted,Plantae,Gnaphalium luteoalbum subsp. affine,Gnaphalium luteoalbum subsp. affine,subspecies,鼠麴草,,
KL_Plant_0000045,22352,t0053835,accepted,Plantae,Gnaphalium purpureum,Gnaphalium purpureum,species,鼠麴舅,,
KL_Plant_0000062,22216,t0053699,accepted,Plantae,Fimbristylis cymosa,Fimbristylis cymosa,species,乾溝飄拂草,,
KL_Plant_0000064,21713,t0053273,accepted,Plantae,Cyperus serotinus,Cyperus serotinus,species,水莎草,,
KL_Plant_0000066,24962,t0040426,accepted,Plantae,Brachiaria villosa,Brachiaria villosa,species,毛臂形草,,
KL_Plant_0000068,21819,t0053383,accepted,Plantae,Digitaria fauriei,Digitaria fauriei,species,佛歐里馬唐,,
KL_Plant_0000072,25162,t0053388,accepted,Plantae,Digitaria mollicoma,Digitaria mollicoma,species,絨馬唐,大絨馬唐,
KL_Plant_0000082,25207,t0053519,accepted,Plantae,Eleusine indica,Eleusine indica,species,牛筋草,,
KL_Plant_0000083,59832,t0058251,accepted,Plantae,Setaria parviflora,Setaria parviflora,species,莠狗尾草,,
KL_Plant_0000084,25786,t0055330,accepted,Plantae,Setaria viridis,Setaria viridis,species,狗尾草,,
KL_Plant_0000085,25411,t0054216,accepted,Plantae,Lepturus repens,Lepturus repens,species,細穗草,,
KL_Plant_0000086,24826,t0049406,accepted,Plantae,Zoysia japonica,Zoysia japonica,species,日本芝,結縷草,
KL_Plant_0000088,25920,t0049407,accepted,Plantae,Zoysia matrella,Zoysia matrella,species,高麗芝,溝葉結縷草 | 高麗芝,
KL_Reptile_0000001,73485,t0064361,accepted,Animalia,Gekko hokouensis,Gekko hokouensis,species,鉛山壁虎,,
KL_Plant_0000026,21646,t0053212,accepted,Plantae,Cuscuta australis,Cuscuta australis,species,菟絲子,,
KL_Plant_0000031,57492,t0058150,accepted,Plantae,Leucas chinensis,Leucas chinensis,species,白花草,,
KL_Plant_0000037,25059,t0053106,accepted,Plantae,Conyza bonariensis,Conyza bonariensis,species,美洲假蓬,野桐蒿 | 野塘蒿,
KL_Plant_0000046,58535,t0058693,accepted,Plantae,Paraprenanthes sororia,Paraprenanthes sororia,species,山萵苣,山苦藚,
KL_Plant_0000055,24993,t0040612,accepted,Plantae,Canavalia rosea,Canavalia rosea,species,濱刀豆,,
KL_Avian_0000010,68441,t0079031,accepted,Animalia,Columba livia,Columba livia,species,野鴿,,
KL_Avian_0000091,54183,t0100094,accepted,Animalia,Ardea cinerea,Ardea cinerea,species,蒼鷺,,
KL_Avian_0000105,58466,t0098278,accepted,Animalia,Pandion haliaetus,Pandion haliaetus,species,魚鷹,,
KL_Avian_0000124,56376,t0097039,accepted,Animalia,Falco tinnunculus,Falco tinnunculus,species,紅隼,,
KL_Avian_0000155,83968,t0031878,accepted,Animalia,Phylloscopus inornatus,Phylloscopus inornatus,species,黃眉柳鶯,,
KL_Avian_0000210,58026,t0096454,accepted,Animalia,Motacilla alba,Motacilla alba,species,白鶺鴒,,
KL_Avian_0000069,67530,t0030424,accepted,Animalia,Chlidonias leucopterus,Chlidonias leucopterus,species,白翅黑燕鷗,,
KL_Avian_0000084,60110,t0099004,accepted,Animalia,Sula dactylatra,Sula dactylatra,species,藍臉鰹鳥,,
KL_Avian_0000099,64354,t0072181,accepted,Animalia,Ardeola bacchus,Ardeola bacchus,species,池鷺,,
KL_Avian_0000002,62724,t0057603,accepted,Animalia,Aix galericulata,Aix galericulata,species,鴛鴦,,
KL_Avian_0000014,60076,t0098990,accepted,Animalia,Streptopelia tranquebarica,Streptopelia tranquebarica,species,紅鳩,,
KL_Avian_0000015,149291,t0086298,accepted,Animalia,Spilopelia chinensis,Spilopelia chinensis,species,珠頸斑鳩,,
