taxonID,occurrenceID,eventDate,year,month,day,eventTime,basisOfRecord,continent,country,locality,samplingProtocol,scientificName,taxonRank,vernacularName,individualCount,organismQuantityType,organismQuantity,georeferenceVerificationStatus,geodeticDatum,decimalLongitude,decimalLatitude,coordinatePrecision,coordinateUncertaintyInMeters,recordedBy,sex,lifeStage,reproductiveCondition,behavior,vitality,occurrenceStatus,occurrenceRemarks,associatedMedia,associatedReferences,dynamicProperties,verbatimEventDate
KL_Cetacean_0000003,2021-08-26_Cetacean_HumanObservation_0014,2021/8/26,2021,8,26,,HumanObservation,Asia,Taiwan,基隆到北方三島的海域,,Delphinus,genus,真海豚,100,individuals,100以上,able to georeference,WGS84,121.80567,25.19192,0.000001,,研海生態顧問股份有限公司,,,,,,,,,2021年棉花嶼、花瓶嶼野生動物保護區巡護暨動植物生態調查委託案成果報告書,{mother-calf pairs:null},2021/8/26
KL_Cetacean_0000003,2021-08-26_Cetacean_HumanObservation_0015,2021/8/26,2021,8,26,,HumanObservation,Asia,Taiwan,基隆到北方三島的海域,,Delphinus,genus,真海豚,40,individuals,約40,able to georeference,WGS84,121.80652,25.2078,0.000001,,研海生態顧問股份有限公司,,,,,,,,,2021年棉花嶼、花瓶嶼野生動物保護區巡護暨動植物生態調查委託案成果報告書,{mother-calf pairs:null},2021/8/26
KL_Cetacean_0000001,2021-09-21_Cetacean_HumanObservation_0016,2021/9/21,2021,9,21,,HumanObservation,Asia,Taiwan,基隆到北方三島的海域,,Tursiops,genus,瓶鼻海豚,4,individuals,4~5,able to georeference,WGS84,121.95302,25.33974,0.000001,,研海生態顧問股份有限公司,,,,,,,,,2021年棉花嶼、花瓶嶼野生動物保護區巡護暨動植物生態調查委託案成果報告書,{mother-calf pairs:null},2021/9/21
KL_Cetacean_0000001,2021-09-21_Cetacean_HumanObservation_0017,2021/9/21,2021,9,21,,HumanObservation,Asia,Taiwan,基隆到北方三島的海域,,Tursiops,genus,瓶鼻海豚,35,individuals,30~40,able to georeference,WGS84,122.00669,25.43,0.000001,,研海生態顧問股份有限公司,,,,,,,,,2021年棉花嶼、花瓶嶼野生動物保護區巡護暨動植物生態調查委託案成果報告書,{mother-calf pairs:null},2021/9/21
KL_Cetacean_0000001,2022-03-15_Cetacean_HumanObservation_0020,2022/3/15,2022,3,15,,HumanObservation,Asia,Taiwan,基隆到北方三島的海域,,Tursiops,genus,瓶鼻海豚,4,individuals,4~5,able to georeference,WGS84,122.05455,25.52609,0.000001,,研海生態顧問股份有限公司,,,,游走,,,,,2022年棉花嶼、花瓶嶼野生動物保護區巡護暨動植物生態調查委託案成果報告,{mother-calf pairs:absent},2022/3/15
KL_Cetacean_0000001,2022-03-15_Cetacean_HumanObservation_0021,2022/3/15,2022,3,15,,HumanObservation,Asia,Taiwan,基隆到北方三島的海域,,Tursiops,genus,瓶鼻海豚,6,individuals,6~7,able to georeference,WGS84,122.08085,25.47797,0.000001,,研海生態顧問股份有限公司,,,,游走,,,,,2022年棉花嶼、花瓶嶼野生動物保護區巡護暨動植物生態調查委託案成果報告,{mother-calf pairs:absent},2022/3/15
KL_Cetacean_0000006,2022-03-15_Cetacean_HumanObservation_0023,2022/3/15,2022,3,15,,HumanObservation,Asia,Taiwan,基隆到北方三島的海域,,Cetacea,infraorder,未知鯨豚,6,individuals,6~7,able to georeference,WGS84,121.90239,25.32408,0.000001,,研海生態顧問股份有限公司,,,,游走,,,,,2022年棉花嶼、花瓶嶼野生動物保護區巡護暨動植物生態調查委託案成果報告,{mother-calf pairs:present},2022/3/15
KL_Cetacean_0000005,2022-03-15_Cetacean_HumanObservation_0019,2022/3/15,2022,3,15,,HumanObservation,Asia,Taiwan,基隆到北方三島的海域,,Pseudorca crassidens,species,偽虎鯨,9,individuals,8~10,able to georeference,WGS84,121.91831,25.297,0.000001,,研海生態顧問股份有限公司,,,,覓食、游走,,,,,2022年棉花嶼、花瓶嶼野生動物保護區巡護暨動植物生態調查委託案成果報告,{mother-calf pairs:absent},2022/3/15
KL_Cetacean_0000002,2022-03-15_Cetacean_HumanObservation_0022,2022/3/15,2022,3,15,,HumanObservation,Asia,Taiwan,基隆到北方三島的海域,,Tursiops truncatus,species,真瓶鼻海豚,11,individuals,10~12,able to georeference,WGS84,121.91433,25.31283,0.000001,,研海生態顧問股份有限公司,,,,游走,,,,,2022年棉花嶼、花瓶嶼野生動物保護區巡護暨動植物生態調查委託案成果報告,{mother-calf pairs:absent},2022/3/15
KL_Cetacean_0000003,2022-03-15_Cetacean_HumanObservation_0018,2022/3/15,2022,3,15,,HumanObservation,Asia,Taiwan,基隆到北方三島的海域,,Delphinus,genus,真海豚,175,individuals,150~200,able to georeference,WGS84,121.89292,25.29481,0.000001,,研海生態顧問股份有限公司,,,,覓食、游走,,,,,2022年棉花嶼、花瓶嶼野生動物保護區巡護暨動植物生態調查委託案成果報告,{mother-calf pairs:present},2022/3/15
