Model,Avian,BenthicInvertebrate,Cetacean,Fish,Insect,Plant
Lomolino,70.28138282685197,,23.064660357701722,58.029403266669775,34.41352266039664,65.9521063180603
Asymp,96.49543546426492,67.91293120553294,79.31604538238602,85.36940236814819,82.01721686634924,97.76542889644223
Michaelis-Menten,84.66587742211831,48.79673632801965,74.50586937276798,66.82841228414357,67.09672817676739,93.16779258889034
