Model,Avian,BenthicInvertebrate,Cetacean,Fish,Insect,Plant
Lomolino,1.5369394544396116,,-9.689302312723889,8.652716111382201,20.18328068658513,35.44104665906448
Asymp,122.23294829120792,22.81912194397288,-7.280566988946216,30.647339883225847,74.73286253066694,75.95443849017562
Michaelis-Menten,131.90616028577142,28.00364989052668,-4.417038825600976,31.774411363119665,96.41952554757405,94.31539403383633
