x_axis,Avian_Lomolino,Avian_Asymp,Avian_Michaelis-Menten,BenthicInvertebrate_Lomolino,BenthicInvertebrate_Asymp,BenthicInvertebrate_Michaelis-Menten,Cetacean_Lomolino,Cetacean_Asymp,Cetacean_Michaelis-Menten,Fish_Lomolino,Fish_Asymp,Fish_Michaelis-Menten,Insect_Lomolino,Insect_Asymp,Insect_Michaelis-Menten,Plant_Lomolino,Plant_Asymp,Plant_Michaelis-Menten
1,0.0,51.516068059281906,0.0,,7.065353408566409,0.0,0.0,1.1358912122209652,0.0,0.0,24.81580215778112,0.0,0.0,16.167951460456578,0.0,0.0,40.298403399268295,0.0
2,70.28106035888072,78.09799945071632,57.565755242693356,,32.34233927983928,30.040832823010252,2.0224737632479064,2.0296474511905904,1.922499925902773,82.82790697734676,83.66474133813989,79.95728914657896,25.200957485604135,27.808234689500296,18.64753560076622,45.57355291966135,48.07392203404721,38.75887980233489
3,102.97555919502126,101.16230034735261,95.89320782814478,,54.36825324088991,54.3015473293487,2.734212210774354,2.7163401529681046,2.8088577136128325,130.53609950256447,128.9788367160604,130.70423121166564,38.93271104875726,38.503411303924565,33.999675492913546,55.58659977380597,54.64069891615945,54.67349243473556
4,125.74987003763191,121.17446455081586,123.2456487547301,,73.56124121383351,74.30395627952225,3.237793440074549,3.24394135575034,3.3189131297698813,164.33676154870483,163.87100756091064,165.77544160776048,49.7610015122316,48.33021710950163,46.85904406362299,61.74596938117399,60.18663876209615,63.34318037670406
5,143.17147469172582,138.5383863059635,143.7466999064996,,90.2856680857882,91.07874880210241,3.6364535822420985,3.6493090383494344,3.6503427108158792,189.9996247996955,190.73822351463417,191.46253173127084,58.92062471431923,57.3591575208537,57.78718897938987,66.18504153036709,64.87043559681595,68.79789185463837
6,157.18454232073066,153.60451187106923,159.6840993451478,,104.85903491067567,105.34882019310572,3.9696436508478556,3.9607620017415277,3.88299849557514,210.32576461066182,211.42616799116865,211.08747606183383,66.94187749348161,65.65501342404859,67.18877173317736,69.64023387720513,68.82611369617439,72.5462232216579
7,168.82770197870735,166.6769123773799,172.42906877487783,,117.55800643530695,117.63618531945662,4.2573392621251855,4.200058207555872,4.055309478193328,226.90993944573935,227.3560301473873,226.56977123940044,74.11666838014341,73.27730596681974,75.36277963864167,72.45736957253575,72.16686261802214,75.28057584155502
8,178.72780799866518,178.01942072558992,182.85349996064016,,128.62366337794288,128.32722267346583,4.511261895307827,4.383914779326718,4.188058219341867,240.74679128755895,239.62213558884167,239.09590297344926,80.62803481592437,80.2807236111895,82.53490680116201,74.8273107189526,74.98827605928192,77.36337347588464
9,187.2940420578237,187.86095637675874,191.53827805464095,,138.26607917000928,137.71404070038355,4.738958658234472,4.525175853100508,4.293466754097542,252.4962539931476,249.067122697041,249.4387522874974,86.60052358896746,86.71551451251567,88.87871593103439,76.86670765596922,77.37108721712211,79.00270722710938
10,194.80870903376098,196.40014550493004,198.88534087584765,,146.66830804707263,146.02157539687718,4.945611905709336,4.633709862907866,4.379192773882675,262.61666026015297,256.33982892803147,258.12337443232656,92.12380220660937,92.62784704020345,94.52986842048057,78.65209743594082,79.38347892508551,80.32658166783915
