Model,Avian,BenthicInvertebrate,Cetacean,Fish,Insect,Plant
Lomolino,0.9999811151164124,,0.9964054818621124,0.9999763521234565,0.999884676547089,0.9982363799829358
Asymp,0.9954424338922249,0.9996895871707363,0.9941808336642929,0.9994525000149274,0.9979639408329379,0.985125440982085
Michaelis-Menten,0.9922523522749584,0.9992379828117696,0.9846077729826169,0.9991441570141651,0.9929171056314503,0.9565643060523147
