Model,Avian,Benthic Invertebrate,Cetacean,Fish,Plant,Insect
Lomolino,69.83,NA,23.06,56.14,55.15,30.85
Asymp,96.36,66.95,79.32,84.51,96.54,79.59
Michaelis-Menten,84.37,47.90,74.51,66.19,91.68,64.59
