Model,Avian,Benthic Invertebrate,Cetacean,Fish,Plant,Insect
Lomolino,0.99998,NA,0.99641,0.99997,0.99862,0.99990
Asymp,0.99563,0.99971,0.99418,0.99943,0.98796,0.99820
Michaelis-Menten,0.99237,0.99927,0.98461,0.99896,0.95386,0.99345
