Model,Avian,Benthic Invertebrate,Cetacean,Fish,Plant,Insect
lomolino,0.9999844663938406,,0.9964054818621124,0.9999676300414884,0.9986231629253159,0.9998956602093875
asymp,0.9956259585737545,0.9997131271971881,0.9941808336642929,0.999427129067947,0.987959992946436,0.9981993837020816
michaelis-menten,0.9923656764905713,0.9992730516293522,0.9846077729826169,0.9989556731557192,0.9538567472823709,0.9934471122633391
