Year,Insect
1994,5.0
2008,14.0
2009,25.0
2010,39.0
2011,48.0
2012,52.0
2013,55.0
2014,56.0
2015,58.0
2016,59.0
2017,66.0
2018,71.0
2019,71.0
2020,77.0
2021,106.0
2022,118.0
2023,124.0
2024,136.0
2025,142.0
